input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
i told you the facts! he abandoned us -- those are the facts.,they're not here for the money,but i'm not sure that i'm a.,i had the fbl typed it,i'm not afraid of you,my brother is a royal army,original/random_sampling_temp1.0_top10.json_4,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0.json_9,clustered/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0.json_7,97,now i think we really do understand one another.,that's why we're here,what are you talking about?,i don't know what i'm doing,i thought you said i'm a piece of crap,we've got to get to the bottom of this,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/standard_beam_search_bs100.json_0,original/standard_beam_search_bs10.json_6,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,64,he wants the money.,why didn't you tell me?,all right let's go!,i don't know what to say,he wants to buy me a drink,is that what you want?,clustered/beam_search_bs100_kpercand3.json_4,original/iterative_beam_search_bs5_ibs10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/random_sampling_temp0.5.json_7,original/iterative_beam_search_bs5_ibs10.json_3,17,did you call?,i don't know what to say,ma'a m i'm sorry,i'll call you later,i don't want to talk about it,i go to the market with my husband,clustered/beam_search_bs100_kpercand3.json_5,clustered/iterative_beam_search_bs5_ibs100.json_6,original/standard_beam_search_bs10.json_0,clustered/standard_beam_search_bs100_npad0.3.json_7,original/random_sampling_temp0.7.json_7,13,so what should i wear?,you don't have to do that,you know what i mean?,i don't know what i'm talking about,what's wrong with that?,i think i should have some,clustered/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_3,original/diverse_beam_search_bs10_dbs0.8.json_4,original/clustering_beam_search_bs10_cbs5.json_2,clustered/random_sampling_temp1.0_top100.json_8,20
yes... ..we do ask for... .30 to 60 days....,how do you know that?,i'll be back in a few minutes,i know what you're doing,it's a very good idea,the. are still. the.,clustered/beam_search_bs100_kpercand3.json_3,original/clustering_beam_search_bs10_cbs5.json_5,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_4,original/random_sampling_temp0.5.json_5,77,you're kidding.,no i don't think so,i don't want to hear it,is that what you want?,what are you talking about?,the only reason is what the hell you think i am you are,clustered/beam_search_bs100_kpercand3.json_6,original/standard_beam_search_bs10.json_5,original/iterative_beam_search_bs5_ibs10.json_3,clustered/random_sampling_temp1.0_top100.json_0,original/random_sampling_temp1.0_top10.json_8,7,why would he go to odessa?,he's got a lot of work to do,he'll be all right,i don't know what he's doing here,because he didn't want to be alone,i don't know don't ask,original/random_sampling_temp0.5.json_1,original/standard_beam_search_bs10_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0.json_5,75,bring down the money or your friend's dead!,what's the matter with you?,i'm going to kill you!,i don't know what to do,i don't care about that!,what's the matter with you?,original/beam_search_bs10_kpercand3.json_1,clustered/random_sampling_temp1.0_top100.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp0.5.json_1,92,what did you just say?,it's not my fault!,i told you to shut up,i don't know what you're talking about,you don't have to think about it,i don't know what to say,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp0.5.json_4,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_2,18
poor father...,i've never seen anything like this before,i'll take care of them,i'll take it to the.,i'll tell you what,they're not.!,original/standard_beam_search_bs10.json_9,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp0.5.json_6,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp1.0_top100.json_6,36,it's okay. it's alright.,i'm not doing it for you,i don't want any trouble,i'll take it from here,it's alright the. of the.,what are you doing here?,original/random_sampling_temp0.5.json_5,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp0.5.json_1,clustered/random_sampling_temp1.0_top100.json_9,clustered/standard_beam_search_bs100_npad0.3.json_1,76,the bourbon. the news about ugarte upset me very much.,i'll be right back,i'm sorry to hear that,oh i assisted them in poverty!,i'll tell you what i'm gonna do,i don't know what to do,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp1.0.json_1,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10.json_3,60,too many people know about my involvement in this.,i don't have to tell them again,i'll be right there,so how did your mother react?,they don't know the.,all i'm saying is that you're the only one who can help me,original/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0_top10.json_6,clustered/random_sampling_temp1.0_top100.json_6,original/iterative_beam_search_bs5_ibs10.json_9,96,"honey, we can be happy and poor together.",we'll get our own,it's like a revenge of death,i'll be back in a few days,you would not have fun with it at poor,that's why we're here,original/random_sampling_temp1.0_top10.json_1,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,original/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,86
see anything you like?,i don't have a?,i'll see you later,can't you see that?,i'd like to talk to you,you know what i mean?,clustered/random_sampling_temp1.0_top100.json_6,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_5,clustered/standard_beam_search_bs100.json_8,clustered/beam_search_bs100_kpercand3.json_4,45,"why not religion, dad?",i don't know what i'm talking about,you're a?!,i don't know what i'm talking about,religion doesn't have a mother,he doesn't know that!,original/standard_beam_search_bs10.json_6,clustered/random_sampling_temp0.5.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_6,clustered/random_sampling_temp1.0_top100.json_7,8,why the hell are we wasting time here?!,we're not going to let those bastards kill each other in front of us,we're not going to the police,what are you doing here?,i know what i'm doing!,i don't know what you're talking about but you're not going anywhere,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp1.0.json_1,original/diverse_beam_search_bs10_dbs0.8.json_9,93,it might be an interesting case.,you're a good man,i'm going to make a phone call,what are we doing here?,what are you going to do now?,this name's a bit strange,clustered/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_0,83,you going to answer it?,i don't know what i'm talking about,i was just thinking about you too,i'll tell you what i think,i'm not going to tell you,i don't know what you're talking about,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0.json_8,original/standard_beam_search_bs10_npad0.3.json_7,clustered/random_sampling_temp1.0_top100.json_5,clustered/random_sampling_temp0.5.json_2,51
i hope he fell off.,he has a big mouth he's still alive,i don't know what he's talking about,how did you know that?,what do you think i'll do?,i'll take care of him ma'a m and make sure that you're all right,original/random_sampling_temp1.0_top10.json_6,original/standard_beam_search_bs10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp1.0_top10.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,23,i'm supposed to speak at their tenth anniversary.,i don't know if i can,you've got to be kidding,the. is not so good that you don't call the archives,i don't want to hear it,i don't know what to say,original/standard_beam_search_bs10.json_6,clustered/standard_beam_search_bs100_npad0.3.json_9,original/random_sampling_temp0.7.json_9,original/clustering_beam_search_bs10_cbs5.json_4,original/random_sampling_temp0.5.json_0,80,you sure know how to take a lot of punishment.,i don't know what to say,is that what you want?,that's why i'm here,you know what i mean?,hey mr black you hold this,clustered/beam_search_bs100_kpercand3.json_5,original/iterative_beam_search_bs5_ibs10.json_4,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_1,original/random_sampling_temp1.0.json_4,91,what's the matter?,don't you want to know what's going on in new york?,don't you want to know what's going on? i'm sorry ma'a m,i don't know what to do,i'll be right back,what's the matter with you?,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/standard_beam_search_bs10.json_4,clustered/random_sampling_temp0.7.json_1,clustered/random_sampling_temp1.0_top100.json_0,6,this thing's going nowhere.,let's get out of here,where are you going with this?,i'll be back in a few days,lt. l be all right,i've got to get out of here!,clustered/beam_search_bs100_kpercand3.json_2,original/random_sampling_temp1.0.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10_npad0.3.json_3,38
that's right; convict without trial... habeas corpus.,you know what i mean?,by the time we get to corpus,i'll be back soon,i'll tell you what i'll do,that's what i've been trying to tell you about,clustered/standard_beam_search_bs100.json_1,original/iterative_beam_search_bs5_ibs10.json_8,clustered/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_3,85,how far have you gotten?,well you know how it is,i don't know but i'll tell you what,where are you taking me?,i've been thinking about it,how do you know that?,original/random_sampling_temp1.0_top10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_2,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,15,what will you do?,i'll be right back,i'll be right back,i'll be right back,i'll be right back,we'll be in the conference room,original/clustering_beam_search_bs10_cbs5.json_0,clustered/beam_search_bs100_kpercand3.json_0,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/random_sampling_temp0.5.json_0,original/random_sampling_temp0.7.json_6,9,"sorry, am i interrupting?",i don't know what to do,i've been waiting for you,i'll be right back,i don't know what to say,where are you taking me?,original/standard_beam_search_bs10.json_7,clustered/standard_beam_search_bs100.json_6,clustered/beam_search_bs100_kpercand3.json_1,original/standard_beam_search_bs10_npad0.3.json_2,original/iterative_beam_search_bs5_ibs10.json_3,46,good luck.,that's what i'm afraid of,i'll be back in a minute,i'll be right back,i'll be back in a few minutes,i'll be back in a few minutes ma'a m but it doesn't matter,clustered/random_sampling_temp0.7.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/standard_beam_search_bs10.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_7,31
"bravo, your majesty!",i don't know what to say,i'll be right back,i'll take care of you,i'll see you later,what are you doing here?,clustered/standard_beam_search_bs100.json_8,original/clustering_beam_search_bs10_cbs5.json_0,original/beam_search_bs10_kpercand3.json_2,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/random_sampling_temp0.7.json_0,2,i'm really not that hungry.,you're out of your mind,i have a lot of work to do,i just want to tell you more about that chick kaufman,i know that you don't have to worry but are you gonna accept good or bad looking?,i don't have time for this,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp0.5.json_6,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.7.json_9,clustered/random_sampling_temp1.0_top100.json_2,94,how did it go today?,i don't know what to say,i'm not sure i'll be able to take it from you,i don't know what you're talking about,why did you do it?,where is the book hidden?,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.5.json_9,original/standard_beam_search_bs10_npad0.3.json_2,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp1.0.json_6,53,"i'm in a wheelchair, the truck sounds pretty good.",i'll be right back,is that what you want?,what are you talking about?,do you know what this is?,call me if you need anything,original/random_sampling_temp0.7.json_0,original/iterative_beam_search_bs5_ibs10.json_4,clustered/standard_beam_search_bs100.json_0,clustered/random_sampling_temp1.0.json_0,clustered/iterative_beam_search_bs5_ibs100.json_8,65,your ideas never work out.,i'm not at liberty to explain,that's why i'm here,i've never seen anything like it,i've never seen anything like it,so you didn't buy them,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_1,original/clustering_beam_search_bs10_cbs5.json_3,original/beam_search_bs10_kpercand3.json_4,clustered/random_sampling_temp1.0.json_4,54
what's he get if he wins here?,what are you talking about?,he'll be all right,if he doesn't he'll lose the game and it's gonna cost you a fortune,that's what we're here for,i've got to go,clustered/standard_beam_search_bs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_5,original/random_sampling_temp1.0_top10.json_7,clustered/standard_beam_search_bs100_npad0.3.json_9,original/clustering_beam_search_bs10_cbs5.json_4,79,where's ma?,i can't wait to see you out,i don't know what you're thinking,i don't know what you're doing,i got off tonight and i got back to miami,i don't know where she is,original/random_sampling_temp1.0_top10.json_4,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp1.0.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,1,chief - mind if i take her?,i don't know what to say,i'm not looking for a doctor,no i don't want to,no i don't think so,mr miyagi the commandant has already fulfilled her claims,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_6,original/diverse_beam_search_bs10_dbs0.8.json_1,original/random_sampling_temp1.0.json_8,55,looking for intelligent life?,i don't know what you're talking about,there's no pain on this planet!,i've seen it before,that's why i'm here,i don't like the?,original/clustering_beam_search_bs10_cbs5.json_0,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_4,clustered/random_sampling_temp0.7.json_7,26,"look, nobody knows we did it.",we only do the same thing,we're not going anywhere,let's get out of here,we've got to get out of here,is that what you want?,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_0,original/iterative_beam_search_bs5_ibs10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_3,original/iterative_beam_search_bs5_ibs10.json_9,68
"ready to roll, partner?",let's get out of here,i think we're going to get to work,i'll take care of it myself,let's get out of here,i don't know what to say,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_0,clustered/random_sampling_temp0.5.json_3,50,i'd love to drive through new england in the fall.,i'd like to go home,is that what you want?,i'm in love with you,i'll be back soon,i don't think i'll ever see you again,clustered/clustering_beam_search_bs100_cbs5.json_6,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp0.5.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/standard_beam_search_bs10.json_6,73,tonight turned out to be pretty interesting.,i'll be back in a couple of days,i've been thinking about it,would you like a drink?,i have a big surprise for you,it's not easy to get a job in such a.,original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_0,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.7.json_1,original/random_sampling_temp1.0_top10.json_6,70,you okay?,what are you doing here?,you're going to be okay,i've got to go,what are you doing here?,why don't you go home?,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10_npad0.3.json_5,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_9,29,he thinks people *like* to get whacked by branches.,but he's got to be a.,you know what i mean?,i don't know what he's doing,you can't do that!,yeah it's a. bird,original/random_sampling_temp0.5.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0_top100.json_2,original/random_sampling_temp1.0.json_2,62
you're the guys from the movie!,what do you want me to do?,how do you do it?,i don't know what to say!,you're the only one who knows what's going on in there!,i don't know what to say,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp0.7.json_1,original/standard_beam_search_bs10.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,original/clustering_beam_search_bs10_cbs5.json_1,87,i just want the job.,you don't have to do that,you don't have a choice,i'll take care of it,i always do what i want,i want you to take it,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0_top100.json_3,original/standard_beam_search_bs10.json_0,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_6,11,its muscles are locked.,will get me out of here first,the.. is..,i'll be right back,i've got to get out of here,we've got. m,original/random_sampling_temp1.0.json_1,clustered/random_sampling_temp0.5.json_8,original/beam_search_bs10_kpercand3.json_0,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp0.7.json_0,43,are you frightened?,would you like a drink?,what's the matter with you?,i've never seen anything like it so far away from me since you left,i've never seen anything like it so far away from me since last night,i'm just trying to help,original/iterative_beam_search_bs5_ibs10.json_1,clustered/beam_search_bs100_kpercand3.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp0.5.json_1,22,are you nervous?,i'm just trying to help,you're not going to be here,of course you're not,i don't know what i'm talking about,no i don't think so,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_9,original/iterative_beam_search_bs5_ibs10.json_6,original/standard_beam_search_bs10_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,21
