input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
i told you the facts! he abandoned us -- those are the facts.,i'm sorry i'm not a criminal,i'm not sure that's what you're gonna do,we can not use -- against us,what have you done?,i observe your question sir,original/random_sampling_temp1.0_top10.json_4,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0.json_9,clustered/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0.json_7,97,now i think we really do understand one another.,it's been a long time,i don't think so,i don't know what to say to you,i feel i should be able to believe them,i've been thinking about it for a long time,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/standard_beam_search_bs100.json_0,original/standard_beam_search_bs10.json_6,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,64,he wants the money.,i don't think so,give me the money!,he doesn't know anything,he wants to know why,let me tell you something,clustered/beam_search_bs100_kpercand3.json_4,original/iterative_beam_search_bs5_ibs10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/random_sampling_temp0.5.json_7,original/iterative_beam_search_bs5_ibs10.json_3,17,did you call?,why didn't you tell me?,nice to see you again,what are you doing here?,i'll see you later,why is it that you're so young?,clustered/beam_search_bs100_kpercand3.json_5,clustered/iterative_beam_search_bs5_ibs100.json_6,original/standard_beam_search_bs10.json_0,clustered/standard_beam_search_bs100_npad0.3.json_7,original/random_sampling_temp0.7.json_7,13,so what should i wear?,not that i know of,i'll be right back,i don't know what to say,i don't know what to say,i have to go to work,clustered/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_3,original/diverse_beam_search_bs10_dbs0.8.json_4,original/clustering_beam_search_bs10_cbs5.json_2,clustered/random_sampling_temp1.0_top100.json_8,20
yes... ..we do ask for... .30 to 60 days....,don't you understand?,i don't know what you're thinking,do you understand me?,that's all i know,your majesty what do you think of the.?,clustered/beam_search_bs100_kpercand3.json_3,original/clustering_beam_search_bs10_cbs5.json_5,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_4,original/random_sampling_temp0.5.json_5,77,you're kidding.,what do you think you're doing?,what do you think?,did you see that?,what are you talking about?,it's a little late to be able to say things like this,clustered/beam_search_bs100_kpercand3.json_6,original/standard_beam_search_bs10.json_5,original/iterative_beam_search_bs5_ibs10.json_3,clustered/random_sampling_temp1.0_top100.json_0,original/random_sampling_temp1.0_top10.json_8,7,why would he go to odessa?,he's a very good man,why would he do that?,i don't know why he's here,he didn't want to go to school,yes and he? him,original/random_sampling_temp0.5.json_1,original/standard_beam_search_bs10_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0.json_5,75,bring down the money or your friend's dead!,what are you doing?,i'm gonna kill you!,i'll take care of it,i got the money!,what are you doing?,original/beam_search_bs10_kpercand3.json_1,clustered/random_sampling_temp1.0_top100.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp0.5.json_1,92,what did you just say?,that's what i thought,i'm sorry i'm late,i didn't say that,you said you weren't a?,what are you doing?,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp0.5.json_4,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_2,18
poor father...,i don't know what to do,what did you say?,well i had to come,i don't think so,the. is a.,original/standard_beam_search_bs10.json_9,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp0.5.json_6,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp1.0_top100.json_6,36,it's okay. it's alright.,for a little while?,you've got to help me,i can't believe it!,it's been the same,what's the matter?,original/random_sampling_temp0.5.json_5,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp0.5.json_1,clustered/random_sampling_temp1.0_top100.json_9,clustered/standard_beam_search_bs100_npad0.3.json_1,76,the bourbon. the news about ugarte upset me very much.,i'll be right back,i'll be right back,was he sleeping with me after his admission?,i don't know what you mean,i don't know what to say,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp1.0.json_1,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10.json_3,60,too many people know about my involvement in this.,i don't have to tell you again,that's a good question,i know that's all the questions you know,i have to ask you a question,all i know is that i'm a.,original/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0_top10.json_6,clustered/random_sampling_temp1.0_top100.json_6,original/iterative_beam_search_bs5_ibs10.json_9,96,"honey, we can be happy and poor together.",it's all my fault,the poor are and servants,i don't know what to say to him,buy the. together and make sure you don't give up the.,we're getting married,original/random_sampling_temp1.0_top10.json_1,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,original/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,86
see anything you like?,it makes you feel better,what are you doing?,that's a good idea,i don't know what to say,get out of here!,clustered/random_sampling_temp1.0_top100.json_6,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_5,clustered/standard_beam_search_bs100.json_8,clustered/beam_search_bs100_kpercand3.json_4,45,"why not religion, dad?",i don't know why i'm here,why are you so dad?,i don't know what's going on,that's why he didn't tell me,it's not what i meant,original/standard_beam_search_bs10.json_6,clustered/random_sampling_temp0.5.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_6,clustered/random_sampling_temp1.0_top100.json_7,8,why the hell are we wasting time here?!,what the hell is going on here?! 1 000 years ago i didn't even know where to start,what the hell is going on?!,what are you talking about?,what can i say?,i don't know what you're talking,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp1.0.json_1,original/diverse_beam_search_bs10_dbs0.8.json_9,93,it might be an interesting case.,i'm not a.,i can't find him,i'm going to try,i'll tell you what,put a watch to it,clustered/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_0,83,you going to answer it?,i don't know what to say,call me if i want to ask,i'll tell you what,you know what i'm saying?,i'll tell you what,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0.json_8,original/standard_beam_search_bs10_npad0.3.json_7,clustered/random_sampling_temp1.0_top100.json_5,clustered/random_sampling_temp0.5.json_2,51
i hope he fell off.,he was the man to the right,i don't know what to say,i'll be right back,what happened to mr.?,i've never seen him like this before but i've never seen him like this before but i,original/random_sampling_temp1.0_top10.json_6,original/standard_beam_search_bs10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp1.0_top10.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,23,i'm supposed to speak at their tenth anniversary.,i don't know what to do,i've got to go,i've been working for some. i've been practising,i don't know what to do,i've been thinking,original/standard_beam_search_bs10.json_6,clustered/standard_beam_search_bs100_npad0.3.json_9,original/random_sampling_temp0.7.json_9,original/clustering_beam_search_bs10_cbs5.json_4,original/random_sampling_temp0.5.json_0,80,you sure know how to take a lot of punishment.,i don't know what to say,come on let's go,i'll be right back,i don't think so,now i got to tell you what boxing is all about,clustered/beam_search_bs100_kpercand3.json_5,original/iterative_beam_search_bs5_ibs10.json_4,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_1,original/random_sampling_temp1.0.json_4,91,what's the matter?,what's the matter with you? i'm sorry,what's the matter with you? i'm sorry i didn't know,what are you doing here?,i'll be right back,what's the matter?,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/standard_beam_search_bs10.json_4,clustered/random_sampling_temp0.7.json_1,clustered/random_sampling_temp1.0_top100.json_0,6,this thing's going nowhere.,i don't think so,then they'i i be back,i've got to get out,hold it right there!,i'll tell you what,clustered/beam_search_bs100_kpercand3.json_2,original/random_sampling_temp1.0.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10_npad0.3.json_3,38
that's right; convict without trial... habeas corpus.,what do you want?,have you ever heard of trial?,i'm not so sure,i don't know what's going on,i'll take care of it and make sure,clustered/standard_beam_search_bs100.json_1,original/iterative_beam_search_bs5_ibs10.json_8,clustered/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_3,85,how far have you gotten?,what are you doing?,i don't know what to do,don't worry about it,i've got to go,how do you do?,original/random_sampling_temp1.0_top10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_2,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,15,what will you do?,what are you doing?,what are you doing?,i can't do that,what's going on?,i don't want to but i can't,original/clustering_beam_search_bs10_cbs5.json_0,clustered/beam_search_bs100_kpercand3.json_0,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/random_sampling_temp0.5.json_0,original/random_sampling_temp0.7.json_6,9,"sorry, am i interrupting?",i don't know what to do,i'll see you later,what do you mean?,what's the matter with you?,can i help you?,original/standard_beam_search_bs10.json_7,clustered/standard_beam_search_bs100.json_6,clustered/beam_search_bs100_kpercand3.json_1,original/standard_beam_search_bs10_npad0.3.json_2,original/iterative_beam_search_bs5_ibs10.json_3,46,good luck.,i'll be right back,i've got to get out of here before i leave,i don't know,i don't know what i'm doing,i've got to get out of here before i get to the bottom of this and make sure you're okay,clustered/random_sampling_temp0.7.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/standard_beam_search_bs10.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_7,31
"bravo, your majesty!",you're under arrest,what are you doing?,what's the matter?,i'll show you,do you hear me?,clustered/standard_beam_search_bs100.json_8,original/clustering_beam_search_bs10_cbs5.json_0,original/beam_search_bs10_kpercand3.json_2,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/random_sampling_temp0.7.json_0,2,i'm really not that hungry.,i'm tired of it,i'm sorry i'm late,why do we have to keep so six fish?,i think i'll be in the habit of showing them the plants that hungry e taken for us to have a baby,you know what i think?,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp0.5.json_6,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.7.json_9,clustered/random_sampling_temp1.0_top100.json_2,94,how did it go today?,don't worry about it,i know you're in for a short time now,i don't think so,come on let's go,we're young!,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.5.json_9,original/standard_beam_search_bs10_npad0.3.json_2,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp1.0.json_6,53,"i'm in a wheelchair, the truck sounds pretty good.",what do you mean?,are you all right?,what are you doing here?,what are you doing here?,his name is pretty pretty,original/random_sampling_temp0.7.json_0,original/iterative_beam_search_bs5_ibs10.json_4,clustered/standard_beam_search_bs100.json_0,clustered/random_sampling_temp1.0.json_0,clustered/iterative_beam_search_bs5_ibs100.json_8,65,your ideas never work out.,well i'm telling you,i don't know what you're talking about,i don't know what you mean,i don't know what to do,it s not the same,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_1,original/clustering_beam_search_bs10_cbs5.json_3,original/beam_search_bs10_kpercand3.json_4,clustered/random_sampling_temp1.0.json_4,54
what's he get if he wins here?,what do you think?,i'll be right back,you're going to make this easy for you,i've got to go,he'll be here,clustered/standard_beam_search_bs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_5,original/random_sampling_temp1.0_top10.json_7,clustered/standard_beam_search_bs100_npad0.3.json_9,original/clustering_beam_search_bs10_cbs5.json_4,79,where's ma?,that's what i said to myself,i don't know what to do,i've got to get out of here,jimmy this is where after you,where have you been?,original/random_sampling_temp1.0_top10.json_4,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp1.0.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,1,chief - mind if i take her?,i want to see her,i've heard about it,don't worry about it,i don't think so,after new year's eve i su student tonight,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_6,original/diverse_beam_search_bs10_dbs0.8.json_1,original/random_sampling_temp1.0.json_8,55,looking for intelligent life?,what do you mean?,i don't want to? you,i'm not going anywhere,what's the matter?,i'm going to get married,original/clustering_beam_search_bs10_cbs5.json_0,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_4,clustered/random_sampling_temp0.7.json_7,26,"look, nobody knows we did it.",no i'll try,what do you mean?,what do you mean?,let's get out of here,there's no need to be afraid,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_0,original/iterative_beam_search_bs5_ibs10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_3,original/iterative_beam_search_bs5_ibs10.json_9,68
"ready to roll, partner?",how do you do?,we just got out of here,what do you want me to do?,what do you want?,i'll take care of it,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_0,clustered/random_sampling_temp0.5.json_3,50,i'd love to drive through new england in the fall.,that's a good idea,when i was a kid,i'm a little surprised,i've never been in love with a man before,i don't know what i'm gonna do,clustered/clustering_beam_search_bs100_cbs5.json_6,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp0.5.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/standard_beam_search_bs10.json_6,73,tonight turned out to be pretty interesting.,i don't know what's going on,i'll be right back,where are you going?,what's the matter with you?,i'll be right back to the point,original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_0,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.7.json_1,original/random_sampling_temp1.0_top10.json_6,70,you okay?,what are you doing?,i've got to get back to work,you're not going anywhere,what are you doing?,why don't you go back to bed?,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10_npad0.3.json_5,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_9,29,he thinks people *like* to get whacked by branches.,he's got a lot of.,what does that mean?,i don't know what to do,what about the.?,you know if one is a person,original/random_sampling_temp0.5.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0_top100.json_2,original/random_sampling_temp1.0.json_2,62
you're the guys from the movie!,i don't know!,i don't know!,i don't know!,i don't know what you're talking about but we're not going anywhere,what are you talking about?,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp0.7.json_1,original/standard_beam_search_bs10.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,original/clustering_beam_search_bs10_cbs5.json_1,87,i just want the job.,i don't know what to do,i'm not a.,what do you want?,i didn't want to,i don't have a choice,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0_top100.json_3,original/standard_beam_search_bs10.json_0,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_6,11,its muscles are locked.,you look like you're going to starve yourself,there are no. here,i can't believe it,this is a. locked,it's a. locked,original/random_sampling_temp1.0.json_1,clustered/random_sampling_temp0.5.json_8,original/beam_search_bs10_kpercand3.json_0,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp0.7.json_0,43,are you frightened?,are you all right?,are you all right?,i'll take care of the whole thing and make sure,i'll take care of it if anything happens,i'll be back,original/iterative_beam_search_bs5_ibs10.json_1,clustered/beam_search_bs100_kpercand3.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp0.5.json_1,22,are you nervous?,i'm sorry i'm late,i don't want you to get hurt,did you see that?,i don't know what to do,what's going on?,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_9,original/iterative_beam_search_bs5_ibs10.json_6,original/standard_beam_search_bs10_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,21
