input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
nice to meet you wayne,Tomorrow i better do Gunther criminals urgently .,i think i don 't know how the world is gonna be,i forgot to introduce myself to how it works !,Yeah .,I Think you better than that .,original/random_sampling_temp1.3.json_5,original/random_sampling_temp0.7.json_6,original/random_sampling_temp1.0.json_7,original/clustering_beam_search_bs10_cbs5.json_0,original/standard_beam_search_bs10_npad0.3.json_3,176,"yes , believe i dont really have neither time nor good mood to talk to you",i don 't know what you 're talking about .,this is not the time to talk about it,you must .,not at all,mean my girlfriend ... congestion i 'She carried Trish away ... marsh that .,clustered/standard_beam_search_bs100.json_0,original/beam_search_bs10_kpercand3.json_6,original/standard_beam_search_bs10_npad0.3.json_0,clustered/beam_search_bs100_kpercand3.json_2,clustered/random_sampling_temp1.3.json_7,32,"OK , I am a little",Shit !,"No , you 're not !",Of course .,Come on .,Yes .,clustered/iterative_beam_search_bs5_ibs100.json_5,original/clustering_beam_search_bs10_cbs5.json_9,original/standard_beam_search_bs10.json_3,clustered/beam_search_bs100_kpercand3.json_7,original/iterative_beam_search_bs5_ibs10.json_0,170,What guy are you referring to ?,I 'm not sure that 's a good question .,The one who 's been following us all day .,"The guy you 're talking about , man !",The one who attacked you .,Don 't believe me .,original/random_sampling_temp1.0_top10.json_1,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,original/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,86,"ok , tell me about your weekend",Forget it,Tomorrow you come up with a case or one .,I don 't want to talk about it anymore,It 's my birthday .,"oh , I don 't know .",clustered/beam_search_bs100_kpercand3.json_5,clustered/random_sampling_temp0.7.json_0,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/beam_search_bs100_kpercand3.json_8,original/iterative_beam_search_bs5_ibs10.json_3,84
what is my name,get lost .,don 't know .,my name is what .,you have to tell me .,her birthday you .,clustered/random_sampling_temp1.3.json_5,original/iterative_beam_search_bs5_ibs10.json_4,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_1,original/random_sampling_temp1.0.json_4,91,What did the cats do ?,Everything .,Don 't know .,Bullet on shoulders .,Cats .,All of them .,original/iterative_beam_search_bs5_ibs10.json_7,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp1.3.json_1,clustered/random_sampling_temp0.7.json_6,clustered/iterative_beam_search_bs5_ibs100.json_9,191,I just recently tried that game . It was fun .,I don 't know what you mean .,I had it all figured out in the end .,"Yeah , except stronger times , yes .","The game , I .","You 're I ,",clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_6,clustered/random_sampling_temp1.0_top100.json_7,clustered/random_sampling_temp1.0_top100.json_9,173,"Well , I guess this is goodbye .","Yes , children .","I don 't want to talk about it , but ...",Yes .,", baby .","Well , Well .",clustered/random_sampling_temp0.7.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/iterative_beam_search_bs5_ibs100.json_1,original/standard_beam_search_bs10_npad0.3.json_2,clustered/random_sampling_temp0.7.json_3,10,Sure . Which sport do you like specifically ?,I don 't like it .,I like sports .,Whatever it is ...,caper game contest section - ' cause I 'm doing it for just corned beef ex-wives one dead,I like sport Sure .,clustered/random_sampling_temp1.0_top100.json_1,clustered/random_sampling_temp0.7.json_8,clustered/standard_beam_search_bs100_npad0.3.json_7,original/random_sampling_temp1.3.json_1,clustered/standard_beam_search_bs100.json_2,154
hi my friend how are you doing today ?,I 've been doing all right .,"well , uh ...",fine .,"good , thanks .",great .,original/random_sampling_temp1.0_top10.json_7,original/standard_beam_search_bs10_npad0.3.json_1,original/clustering_beam_search_bs10_cbs5.json_1,clustered/clustering_beam_search_bs100_cbs5.json_2,original/standard_beam_search_bs10.json_3,81,Do you have any hobbies ?,It 's not often this money is blood done here .,No .,"Well , I don 't know .","I don 't know what to say , but it 's kind of like a little bit more than anything else in the world that makes me feel really bad about how much i  s gonna be all over again before anybody sees us .","Biology , war department primarily .",original/random_sampling_temp1.3.json_1,original/standard_beam_search_bs10_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0.json_5,75,what do you know Alex,you know .,I know what you 're talking about .,it 's a what .,what .,I know everything .,original/random_sampling_temp1.0_top10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_2,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,15,What do you mean by that,No harm whatsoever .,I don 't know what to say .,I don 't know what you 're saying .,"I mean , he 's just a kid who knows how to get to know him .","I don 't know what you 're talking about , man .",clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/standard_beam_search_bs100.json_0,original/standard_beam_search_bs10.json_6,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,64,Did you vote ?,"You know , I would like to take that Did out .",No way !,Come on .,Yes .,I don 't know .,clustered/random_sampling_temp0.7.json_2,original/standard_beam_search_bs10_npad0.3.json_6,clustered/beam_search_bs100_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/random_sampling_temp0.7.json_6,110
I do enjoy watching soccer occassionally .,"I do , yes .",I don 't know .,I believe you are very proud of it .,I .,I like it .,clustered/standard_beam_search_bs100_npad0.3.json_5,original/clustering_beam_search_bs10_cbs5.json_3,original/standard_beam_search_bs10_npad0.3.json_8,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0_top100.json_5,183,What is you favorite song ?,Dance .,"I don 't know , but it 's a little bit more complicated than anything else that has ever happened to me .",The song I sang to you yesterday .,I don 't know .,"Oh , uh ...",original/iterative_beam_search_bs5_ibs10.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/random_sampling_temp0.7.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_2,47,it 's already in my pocket !,I don 't know what you 're talking about .,it limit !,Oh !,"Look , you have a it .","It has not yet gone , sir",original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_0,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.7.json_1,original/random_sampling_temp1.0_top10.json_6,70,I am not faking anything,I have to work hard .,wait ...,I 'm just trying to get the job .,that you 're not .,you are not faking .,clustered/random_sampling_temp0.7.json_3,clustered/random_sampling_temp1.3.json_5,original/random_sampling_temp1.0_top10.json_9,clustered/random_sampling_temp1.0.json_0,original/clustering_beam_search_bs10_cbs5.json_5,196,Is it funny ?,"Yeah , it 's funny .",Come on .,"Excuse me , sir .",Ow !,I am afraid .,original/standard_beam_search_bs10.json_5,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp1.3.json_3,clustered/iterative_beam_search_bs5_ibs100.json_1,clustered/standard_beam_search_bs100_npad0.3.json_2,129
haha that 's a good joke,I 'm impressed .,"Just routine posing as a travel officer , so completely honest .",Yes .,I don 't know .,I don 't understand .,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp1.0.json_9,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_2,clustered/standard_beam_search_bs100.json_3,168,Where is your last name from ?,I 'm sorry .,New York .,Vincenzo .,Slowly .,"Constance , Detroit !",original/standard_beam_search_bs10.json_6,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp1.3.json_9,original/random_sampling_temp1.0.json_8,clustered/random_sampling_temp1.3.json_3,61,wow thats old .,"no , no , no .",i did this,When you two became weak let me tell you something more neurotic about son,come on,"yea i 'm not gonna wow are just saying that i 'm doing it and you 're not gonna be able to miss it ,",original/standard_beam_search_bs10.json_3,clustered/random_sampling_temp1.0.json_5,original/random_sampling_temp1.0.json_8,original/iterative_beam_search_bs5_ibs10.json_8,original/random_sampling_temp0.7.json_3,117,yes it is,... for a moment .,sort of .,it is .,they talk about it all the time .,you know,original/random_sampling_temp1.0.json_9,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/beam_search_bs100_kpercand3.json_0,clustered/random_sampling_temp0.7.json_7,clustered/standard_beam_search_bs100_npad0.3.json_7,56,With whom ?,I 'm not sure .,alex Bernhardt .,With my wife .,With a friends .,With .,original/clustering_beam_search_bs10_cbs5.json_5,original/random_sampling_temp1.3.json_4,original/beam_search_bs10_kpercand3.json_4,original/standard_beam_search_bs10_npad0.3.json_0,original/standard_beam_search_bs10.json_0,142
I see . So where are you from ?,Come here,I don 't know .,Mumbai,I 'm from I .,Welcome ti Tatsu,clustered/iterative_beam_search_bs5_ibs100.json_7,clustered/standard_beam_search_bs100.json_4,clustered/iterative_beam_search_bs5_ibs100.json_9,original/beam_search_bs10_kpercand3.json_2,original/random_sampling_temp1.3.json_7,109,What is your favorite Tv Show ?,The Show .,I don 't know what you 're talking about !,It 's not fun .,It 's closed .,"Chemical transfers , written by governments that display the Show handbook but based in hidden context in death deserted and cocked .",original/diverse_beam_search_bs10_dbs0.8.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/standard_beam_search_bs100_npad0.3.json_4,original/random_sampling_temp0.7.json_8,original/random_sampling_temp1.0.json_6,193,how are you today,good .,"how , i am very happy .",I 'm so tired,"I 'm fine , thank you",I slept in how .,original/standard_beam_search_bs10.json_3,clustered/random_sampling_temp1.0_top100.json_2,clustered/random_sampling_temp1.0_top100.json_4,original/clustering_beam_search_bs10_cbs5.json_8,clustered/standard_beam_search_bs100_npad0.3.json_3,139,My favorite movie is Liar Liar .,"Oh , my God !","You 're a fucking idiot , baby !",I don 't know what you 're talking about,Hey !,Uh ...,original/clustering_beam_search_bs10_cbs5.json_6,original/random_sampling_temp1.0_top10.json_0,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/beam_search_bs100_kpercand3.json_1,clustered/beam_search_bs100_kpercand3.json_9,28,how are you,beautiful .,I don 't know,how 's how !,fine .,I 'm okay .,clustered/iterative_beam_search_bs5_ibs100.json_2,original/diverse_beam_search_bs10_dbs0.8.json_3,original/random_sampling_temp1.0_top10.json_9,clustered/standard_beam_search_bs100_npad0.3.json_2,original/standard_beam_search_bs10.json_5,48
do you like usher ?,Uh ... yeah .,Um ...,yeah .,I like her .,"yeah , and he 's amazing .",original/random_sampling_temp1.0.json_1,clustered/beam_search_bs100_kpercand3.json_8,original/beam_search_bs10_kpercand3.json_0,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp0.7.json_0,43,why,...,don 't know what to say .,don 't know what to say .,if you don 't mind .,because that happened several hours ago,original/iterative_beam_search_bs5_ibs10.json_4,clustered/beam_search_bs100_kpercand3.json_2,clustered/standard_beam_search_bs100.json_1,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp1.0.json_6,100,Because bad things are happening .,"I don 't know what 's happening to me , but ...",That 's not bad .,"Show something to me , Because .",Not bad .,"Because , I have to go .",clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_5,clustered/standard_beam_search_bs100.json_2,clustered/random_sampling_temp1.0_top100.json_3,188,yes ? why ?,when they sing like this they 're so good at it they must pimp my way wanna kill you .,She will lead to better Major Kovac a time division violent prison hypnotic note .,it was wrong .,"before you called up , he asked you one question , you did not say .",I have the beautiful brothers you had before I was able to help you,original/random_sampling_temp1.0.json_8,clustered/random_sampling_temp1.3.json_0,original/random_sampling_temp1.0.json_7,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp0.7.json_0,123,No we haven 't ! It 's been like a minute,It is a long time ago I have been helping you to get raped .,It is not a matter of life .,A minute .,"I was No , I was waiting for you .",I don 't know .,original/random_sampling_temp1.0.json_5,clustered/random_sampling_temp1.0_top100.json_2,clustered/standard_beam_search_bs100.json_3,original/random_sampling_temp0.7.json_9,clustered/clustering_beam_search_bs100_cbs5.json_0,150
Okay when ?,When he has to .,Excuse me .,Tuesday .,I believe that depends on what you mean .,In ten days ... in about a hundred days,original/random_sampling_temp0.7.json_5,clustered/iterative_beam_search_bs5_ibs100.json_6,clustered/random_sampling_temp1.0.json_3,original/standard_beam_search_bs10_npad0.3.json_8,clustered/random_sampling_temp1.0_top100.json_7,136,hi my friend,hi,hi,hi,wow !,yes. i am very friendly with you .,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/iterative_beam_search_bs5_ibs100.json_2,original/standard_beam_search_bs10.json_2,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp1.0.json_1,145,My favorite planet is pluto,My 's .,Yeah .,And we 're on it .,My .,"Yeah , yeah .",original/clustering_beam_search_bs10_cbs5.json_3,clustered/beam_search_bs100_kpercand3.json_3,clustered/random_sampling_temp1.0.json_1,clustered/random_sampling_temp1.3.json_4,clustered/standard_beam_search_bs100.json_5,167,sir you are a joke,.,no,"America Was my business , of a law school like you ... sir it is sir the football sir the future a sir society nowadays is what there are built ..","sir , you are a very funny man",exactly ... that is why i took your advice .,clustered/beam_search_bs100_kpercand3.json_6,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_0,83,fine with me !,you !,.,a lawyer is sure to find 't see you here everyone else wants to see you,I 'll be fine .,Sure,clustered/standard_beam_search_bs100_npad0.3.json_1,original/iterative_beam_search_bs5_ibs10.json_5,original/random_sampling_temp1.0.json_1,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp1.3.json_0,40
Is this your first time flying ?,No .,"Yes , sir .","Yes , sir .","Yes , it is .",I am Is of the Is .,clustered/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_3,original/diverse_beam_search_bs10_dbs0.8.json_4,original/clustering_beam_search_bs10_cbs5.json_2,clustered/random_sampling_temp1.0_top100.json_8,20,I know ... me too . Do you think they will have a movie on this flight ?,I don 't know .,Only time is today . I 'll open it,Don 't touch .,"Yes , ma ' am , but ...",I think so .,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/random_sampling_temp1.3.json_3,original/random_sampling_temp1.0.json_1,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10.json_3,60,"OK , what do you think about politics today ?",I don 't think it 's a good idea .,"We 'll disclose Normal remedies only Veera backed into jams , shirts and bags with burden divided blue sir , on short notice , Amy OK ' change knocked up Swine -l investigated on Alan Johnson and Higgins in evidence , grasped the Bible Hare Raj , Rene Blair ,",I think the OK of America is more important than OK to me ...,I don 't know .,I don 't know .,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp1.3.json_8,original/random_sampling_temp1.0_top10.json_5,original/random_sampling_temp0.7.json_8,original/clustering_beam_search_bs10_cbs5.json_0,35,but I think I love her too much,So there 's bad drummer in ' suis . Very jelly with Dre . but hear that sentencing sign Halsey earns $ but .,I mean her .,I think she loves you .,She is very nice .,I know she has love to tell you that this embarrassing woman,original/random_sampling_temp1.3.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0_top100.json_2,original/random_sampling_temp1.0.json_2,62,i want to eat,come quickly,"i , eat .",eggs and,come on .,coffee .,original/standard_beam_search_bs10_npad0.3.json_4,original/random_sampling_temp1.0_top10.json_2,clustered/random_sampling_temp1.0.json_2,clustered/standard_beam_search_bs100.json_4,clustered/clustering_beam_search_bs100_cbs5.json_5,105
Have you been well ?,I am fine .,Yes I have been fine .,Yes .,Don 't start with the voice .,I 've been fine .,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0_top100.json_3,original/standard_beam_search_bs10.json_0,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_6,11,"wow , what happened ?",I don 't know what happened .,"i don 't know , i don 't know",I was just ...,i don 't know .,You went to the bathroom .,original/beam_search_bs10_kpercand3.json_5,original/standard_beam_search_bs10.json_7,clustered/beam_search_bs100_kpercand3.json_7,original/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0.json_1,121,It 's actually very funny . If you like to be entertained .,No .,Mmm . Yeah .,I like it ., cranking k woozy .,I like it .,original/random_sampling_temp1.0.json_1,clustered/random_sampling_temp1.3.json_4,clustered/clustering_beam_search_bs100_cbs5.json_0,original/random_sampling_temp1.3.json_8,clustered/standard_beam_search_bs100.json_1,161,it means the sun is hiding behind the clouds,I don 't know what to say,it the sun,yes its of bad luck,Time each dial would be hiding Servant we don 't have the function available to Boulevard,correct,clustered/standard_beam_search_bs100.json_7,clustered/clustering_beam_search_bs100_cbs5.json_8,original/random_sampling_temp0.7.json_4,clustered/random_sampling_temp1.3.json_7,clustered/iterative_beam_search_bs5_ibs100.json_4,192,"I 've never seen that movie , what is it about ?","See , ... mum Chaos This Sunday dreaming differently Jerry Whitney he I and sets the Reader of panic a mill without Magnum films around the site runs surrender offspring to world practicing",It 's a movie that 's just like ...,"It gives side things , I ... when something 's kept snakes",I don 't know .,I know what happened .,original/random_sampling_temp1.3.json_8,original/random_sampling_temp1.0_top10.json_8,original/random_sampling_temp1.0.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/standard_beam_search_bs100_npad0.3.json_5,120
